PC1,PC2,PC3,Time (ps),ΔGbind,ΔGbind_Coulomb,ΔGbind_Covalent,ΔGbind_Vander,ΔGbind_HBond,ΔGbind_Lipophilic
13.895533828695346,17.351201211721516,-6.350049792851894,0.0,-85.09029104699812,-10.140470925643857,-4.797196814985607,-56.00908087792817,-2.6431042431879193,-32.249817278119345
-14.197341879481764,-33.168578420165424,1.373149550156489,99.8003992015968,-82.30779812979574,-23.95635663898993,-8.331599708005552,-45.34089762945089,-2.4062631000542347,-35.3101001035155
-8.4586167656694,-6.5128328671064075,-2.31278084602571,199.6007984031936,-77.43320630433422,-18.475671164089782,-5.14550091279307,-46.725152043479014,-2.8601105482198035,-33.00486005170901
-13.324403418240639,-17.20958203357272,-5.194436314271508,299.4011976047904,-69.41252785592583,-22.87480471031395,-4.696052082167123,-41.55714164142569,-0.3977662153033328,-26.28680453325858
-10.428124432666191,-30.479781138715495,-9.684916217703073,399.2015968063872,-79.42655310144482,-26.263829389298085,-6.095225873926131,-56.03792146360357,-1.3108971279576673,-35.03264180349914
-7.934134866280603,-34.27282127464177,-6.61648969012346,499.001996007984,-77.18009389516087,-21.47869344822774,-3.460331242482597,-45.93725099918728,-1.946432382286102,-27.565404388359422
-3.813680482301958,-28.744445419755245,-9.559232857292763,598.8023952095808,-82.59892538705685,-16.708824649816147,-8.663940861766413,-46.62987628965216,-0.7870034048120991,-33.29404556727617
4.025170903796511,-23.013665608754522,-14.318618627837056,698.6027944111777,-77.80305674611918,-23.23956717863018,-5.332745037532173,-56.944941750736255,-3.6741274308003473,-25.38116794724346
-10.191812783338575,-34.071163072375114,-8.378710938327,798.4031936127744,-77.88849406822786,-21.93476057465918,-6.280656946216338,-59.52880232635593,-3.5408093614965983,-33.34860411997606
-7.226642509501199,-45.96693254166141,-14.462665639455093,898.2035928143712,-80.142068312286,-21.547795577145717,-6.929757584937123,-44.792437750830345,-3.0190287560909628,-31.48160169949186
1.790232978668458,-39.513831404179854,-17.526301839334234,998.003992015968,-81.64883988378348,-25.144729680094436,-6.25993318020867,-54.86142153049481,-1.3123146935808567,-31.670562262578372
1.6125709066927238,-36.756712942871985,-14.404007621039183,1097.804391217565,-65.73468529127992,-27.402668593964453,-4.461278444718112,-45.37227587181615,-2.7930202440981393,-25.325131024034214
8.176196711170286,-30.85165688964274,-9.182854185592797,1197.6047904191616,-74.15940841447437,-13.863503845026255,-1.224136544353307,-52.96831325492277,-3.3559077329165983,-33.209482665528974
-4.325892222444116,-36.970496892783686,-14.11198197696681,1297.4051896207584,-65.82115825863234,-17.173350872633872,-5.573089077140571,-48.01565753117158,-2.4656772093797668,-28.837798842075347
-9.016145045369182,-43.37074993205633,-9.753301272543695,1397.2055888223554,-74.75135993366715,-28.283584843536538,-6.2584633467691635,-48.87902021822059,-1.6218652848347024,-35.53965382569197
-9.098574695430361,-37.42172474297433,-10.35809956383639,1497.005988023952,-74.66070047202217,-27.124429019130872,-3.413986186749773,-53.974992333020175,-2.0510059854983207,-35.97327444099347
-15.048536099288485,-32.94792346603223,-8.939385091766292,1596.8063872255489,-69.6378354695435,-16.223492413194556,-2.718417738716218,-52.75800328663698,-1.9391241862142845,-30.38402021820427
-22.88883025181872,-37.722313287340455,-20.01631045144363,1696.6067864271456,-71.20081428447259,-17.12592727124013,-6.862774354106082,-52.00771731482332,-0.7716978203855414,-31.79348147052003
-18.60404363928763,-32.83918087711422,-17.226323667108595,1796.4071856287424,-63.21122491214081,-20.494982765194276,-6.260173419028436,-59.89635811008927,-1.0385383288344472,-29.492171745930985
-19.778070338735194,-38.22236390851628,-14.011053124220469,1896.2075848303393,-72.55254877510544,-15.799631360620106,-5.669465440615901,-47.81626866631452,-0.5230161120189287,-33.99696763141359
-13.413521061277113,-39.67579569826208,-18.092991459549573,1996.007984031936,-74.29559695603413,-23.530322682099843,-6.330908541687775,-52.841787161574345,-3.9704558138980195,-26.765265697055835
-31.120758079423403,-21.02328818551182,-17.60836298007714,2095.808383233533,-71.05874013603963,-18.965562764438467,-5.143961423121284,-40.10142096517984,-1.5450358018898371,-25.606237900653117
-21.20460392943204,-30.52361853109321,-12.685534609881032,2195.60878243513,-75.49932122211045,-21.950843444425555,-4.409368673161756,-49.417510687491465,0.34303548996429534,-34.78074393346066
-20.2861944150617,-27.541918821939674,-15.253584262511792,2295.4091816367263,-69.09926327658152,-20.812474956883246,-3.3738847371876286,-49.95700622841978,-3.307689038372264,-32.9949244420214
