## Torsion are defined with the following atomIDs:
# dihed1: ai= 25 aj= 26 ak= 29 al= 4267
# dihed2: ai= 24 aj= 23 ak= 22 al= 4
# dihed3: ai= 22 aj= 4 ak= 10 al= 1
# dihed4: ai= 2 aj= 11 ak= 12 al= 13
# dihed5: ai= 5 aj= 6 ak= 3 al= 18
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
124   -1.167  -10.671 -155.591   78.944  -32.912
125    6.439   17.039  176.170  117.499  -13.770
126  -16.972   -1.791  171.101  102.485  -26.317
127  -31.119    4.430  175.383  119.684  -23.978
128    2.792   27.963  136.032  114.191  -24.853
129   -2.294   -8.439 -141.913   53.680  -27.458
130   28.541   -6.062 -147.421   32.827   -8.692
131   16.184  -23.317 -137.493   33.511   -8.618
132  160.293  -37.146 -138.178   43.717   -8.249
133   11.269  -27.553 -146.059   44.287  -13.547
134 -175.754  -34.558 -139.062   25.556  -16.832
135    3.282  -22.314 -151.913   37.695  -28.693
136    0.988  -34.382 -124.569   26.378  -13.883
137    7.143  -35.308 -138.613   35.712   -6.161
138    7.130  -11.044 -144.799   34.479  -21.362
139  169.778  -25.408 -157.597   30.426  -23.650
140  -10.704   -7.570 -137.737   47.125   -2.854
141   17.177  -20.280 -156.783   39.852  -26.015
142   13.625    5.094 -144.918   40.196  -22.973
143   23.422  -16.133 -149.397   48.204  -16.382
144    3.712  -23.556 -146.081   53.805  -34.809
145 -167.854   -7.758 -152.628   61.816  -18.479
146  140.106  -22.369 -152.495   48.471  -17.638
147 -169.465  -13.913 -134.566   49.972    1.690
148  144.589  -24.818 -149.636   39.407  -24.508
149  130.469  -12.500 -145.542   31.970  -15.541
150   16.652    7.054 -150.927   38.970  -32.215
151  -15.113  -19.358 -134.588   25.054  -11.718
152 -179.136  -17.807 -140.934   28.391  -34.092
153  177.904   -3.617 -153.899   46.728  -30.802
154 -162.153  -12.878 -154.525   58.886  -23.443
155  178.130  -18.296 -149.816   43.937  -25.366
156  175.776  -19.000 -164.034   46.267  -32.338
157  166.248  -15.586 -149.653   43.866  -32.114
158  174.674  -12.792 -141.141   35.052  -17.039
159 -177.629   25.899 -167.034   53.954  -23.768
160  131.908  -18.935 -157.338   43.970  -15.071
161 -177.480  -15.798 -143.048   47.501   -2.052
162 -176.845  -29.564 -153.948   44.316  -25.002
163  -37.594  -19.867 -142.187   52.977  -31.989
164  127.425  -14.663 -143.680   40.830  -18.767
165   -8.063   -0.449 -138.210   34.379   -2.261
166  158.714   -4.063 -161.253   61.127   -4.500
167    1.792    5.241 -153.246   45.550  -28.441
168  178.453   -9.832 -129.086   48.031  -16.582
169  175.585  -33.404 -140.159   32.732  -29.979
170  170.371  -14.885 -151.678   43.828  -15.375
171  -17.090   -5.788 -147.029   35.453  -23.032
172 -162.894  -23.937 -143.632   39.928   -6.483
173 -174.235  -11.094 -155.145   42.311  -23.019
174   23.103   -3.850 -134.369   40.238   -2.054
175 -171.731  -31.812 -142.264   27.768  -15.499
176  168.930  -19.154 -165.754   38.154  -24.196
177  179.483   -3.673 -137.280   39.543  -23.537
178   -7.709   -8.523 -126.293   32.182   -5.351
179  169.446  -11.497 -143.852   49.611  -24.702
180  155.295  -35.550 -143.072   43.052  -28.842
181  174.239  -10.059 -132.535   42.548  -35.205
182 -179.228  -16.872 -128.218   51.790  -21.026
183   43.539    6.382 -144.938   41.901  -48.885
184  168.887  -39.672 -143.337   44.806  -32.174
185  171.590   -1.327 -146.914   29.609  -19.801
186  156.631  -38.904 -131.840   37.357   -5.058
187  135.336  -19.872 -147.200   46.243  -29.504
188  167.729  -18.645 -140.945   45.247  -27.570
189   -4.186  -49.454 -139.470   30.275  -16.665
190 -172.609  -30.032 -135.330   37.593   -6.183
191    0.759  -21.267 -127.885   29.032   -5.260
192   29.007   -8.810 -147.227   47.857  -14.701
193  154.965  -19.066 -158.762   46.589  -28.051
194  -16.095  -26.125 -159.967   50.959  -38.244
195 -168.374  -19.553 -131.745   31.850  -37.730
196  -17.224  -23.051 -136.230   25.890  -20.887
197 -173.210  -25.888 -148.078   44.127  -37.397
198  166.823  -18.400 -159.150   47.232  -15.331
199 -163.601    3.911 -154.305   51.352  -18.910
200   34.112  -21.315 -153.576   39.716  -23.719
201   16.167   -5.326 -154.910   42.104  -34.461
202 -168.092    0.110 -152.299   29.951  -20.318
203 -172.776  -28.517 -145.220   49.951  -25.509
204  137.933  -18.033 -158.898   40.501  -29.689
205   32.769  -18.068 -143.722   53.184  -23.503
206   -2.018    4.292 -136.046   30.200  -31.952
207    4.064  -19.316 -141.692   67.302  -11.993
208   -2.766    7.158 -143.397   45.345  -12.352
209 -168.962  -16.685 -155.951   45.616  -38.932
210 -177.238  -25.010 -127.924   36.065  -19.218
211    6.061  -11.503 -139.095   37.779  -21.430
212   -4.173   -1.663 -147.599   38.057  -20.076
213 -177.510  -29.486 -137.231   38.694  -15.642
214  166.920  -11.780 -134.610   31.877  -17.618
215 -169.037  -31.615 -127.960   34.193  -25.601
216  -36.990   -8.948 -148.499   44.323  -27.573
217  179.576   -0.113 -163.276   51.966  -21.488
218  -13.692  -10.764 -133.228   22.884  -31.416
219   -7.284  -11.644 -141.723   40.575  -18.837
220 -147.231   -5.791 -138.495   55.823   -5.349
221 -175.611   -7.373 -122.888   26.387  -23.919
222   19.189    7.232 -133.479   27.700  -37.175
223 -156.966  -39.283 -153.335   40.752  -22.202
224   12.861   11.092 -138.444   39.111  -23.353
225  173.948   -5.992 -166.123   41.354  -22.002
226   -9.347  -31.682 -147.166   35.083  -40.110
227 -173.457  -27.997 -150.755   35.458  -37.432
228 -174.019  -12.782 -154.015   32.453  -27.558
229  174.033  -14.943 -137.637   33.744   -2.438
230  -10.712   -2.373 -152.931   57.348   -5.836
231  154.662  -56.171 -149.389   40.723  -21.325
232 -169.300  -24.900 -139.768   50.536  -19.873
233    7.987   -9.956 -166.560   58.946  -34.662
234  165.898  -16.319 -151.700   43.793  -30.566
235    5.925  -12.229 -114.020   31.645   -8.999
236 -165.601  -22.970 -168.382   50.152   -9.124
237 -144.836  -31.635 -145.622   41.751  -28.518
238 -167.746   -9.735 -158.894   33.030  -20.670
239 -146.159  -36.618 -142.321   46.651  -46.613
240   12.334  -22.997 -110.558   44.997  -23.113
241  -23.502   -8.406 -144.456   29.366  -23.641
242 -179.541   -3.117 -140.549   42.073   -2.315
243 -174.159  -47.099 -152.534   49.300  -12.676
244  -23.324   -4.963 -166.215   47.163  -16.293
245  157.562  -40.206 -163.484   43.159  -34.435
246 -156.622  -48.488 -150.374   50.530  -26.652
247   25.442  -48.032 -142.242   36.501  -13.201
248  154.099   -3.601  174.776   59.869  -30.874
249  170.898  -23.374 -155.845   27.014  -11.290
250 -154.080  -23.459 -144.506   40.903  -10.783
251 -167.155  -29.661 -159.008   43.572   -9.141
252  151.201   -3.373 -164.992   46.004  -28.000
253   -1.688  -39.289 -151.181   42.054   -0.970
254   16.525  -14.657 -165.518   44.276  -13.645
255  178.706  -25.541 -149.655   51.274  -45.845
256  -27.325    0.436 -148.313   46.660  -20.816
257   19.433  -29.505 -137.216   42.698  -18.729
258 -167.808  -26.256 -158.773   40.860  -16.925
259  160.562  -40.309 -133.494   37.605   -6.400
260  171.292  -28.239 -146.588   31.681  -16.923
261  124.416  -27.732 -140.132   47.850  -27.591
262  -40.882  -10.043 -133.718   41.732   -7.328
263 -173.029  -13.906 -155.872   45.245  -29.757
264   40.054  -16.144 -173.861   50.328   -4.625
265   31.425   -3.516 -160.395   51.123  -24.070
266 -179.918  -30.895 -150.953   29.566    1.740
267   13.602   -1.830 -108.509   33.569  -22.650
268   -2.658  -31.809 -150.745   41.977   -1.751
269 -160.615  -28.976 -151.979   27.173  -33.212
270  154.334  -14.091 -155.178   46.611  -18.883
271   13.863  -12.758 -165.050   49.342  -30.803
272  170.663  -26.776 -132.606   30.570  -29.772
273   -3.522   13.422 -119.984   24.959  -21.232
274  121.621  -33.800 -148.237   40.217  -27.279
275   20.190  -27.013 -149.689   39.612  -26.184
276  174.737  -27.829 -129.869   33.640  -39.397
277   20.170   -2.491 -144.843   52.411  -32.152
278   15.500  -19.563 -160.925   36.717  -19.421
279   -9.913   -4.504 -146.302   39.713  -13.139
280   34.075  -34.081 -156.807   37.823  -30.242
281 -160.323   -6.199 -151.912   33.939  -26.326
282  168.746  -31.829 -132.705   41.781  -35.562
283   31.411  -13.696 -142.286   28.887  -22.464
284 -179.145  -20.317 -146.694   55.006  -31.698
285 -163.587   14.699 -159.964   36.363  -19.628
286    8.315  -14.074 -130.234   48.501  -24.807
287 -167.319  -19.553 -151.356   36.339  -29.821
288   67.322  -13.755 -122.048   40.968  -31.357
289 -156.990  -31.124 -145.876   47.604  -26.754
290  -19.779  -14.151 -167.204   44.123   -6.375
291 -160.292  -32.083 -158.297   41.872  -17.793
292  -24.760   -9.608 -152.664   33.541  -14.482
293  138.056   -9.356 -165.804   55.387  -28.827
294 -173.751  -10.420 -148.515   46.235  -39.859
295  176.263   14.484 -141.546   40.102  -13.045
296  175.022  -19.225 -143.574   45.312  -37.293
297  153.509   -5.071 -151.828   47.365  -15.336
298  -31.935   -7.270 -157.551   44.792  -40.904
299 -157.685  -13.889 -139.943   50.604  -23.383
300  171.023   -0.910 -149.573   46.273  -12.947
301   17.288   -3.305 -128.050   27.912  -29.345
302  176.879   -9.557 -161.088   57.176  -23.516
303  -29.500   11.136 -161.181   59.755  -15.680
304   40.073    2.172 -153.317   43.749  -12.311
305 -164.886   -2.430 -167.493   35.819  -44.120
306 -149.198  -21.219 -146.364   36.154  -25.593
307    3.677  -17.591 -136.115   30.714  -11.884
308    5.136    3.902 -145.853   47.341  -34.946
309  -19.734  -26.159 -148.189   59.301  -31.396
310  134.806  -10.590 -176.929   51.877  -20.469
311   -7.982  -11.377 -120.665   45.016  -27.167
312   -3.144  -36.879 -133.413   22.021  -22.948
313  171.396  -20.008 -138.769   41.998  -23.314
314   55.766   -9.113 -150.565   47.919  -23.961
315   22.535    3.036 -114.645   35.076  -10.758
316  -30.603    0.517 -145.833   38.042  -24.626
317    0.894  -13.345 -143.626   19.761   -6.198
318 -179.148  -38.100 -139.301   50.866  -15.769
319 -166.511  -22.321 -165.454   53.705  -22.499
320   29.077  -18.223 -129.402   25.507   -9.853
321 -177.819  -23.301 -145.300   45.918  -24.519
322   -4.326   12.012 -144.735   34.697  -21.685
323   -2.659  -14.442 -145.202   47.121  -14.424
324   -5.209   13.058 -139.474   60.410   -0.373
325    3.551   -0.337 -161.570   37.884  -25.010
326 -153.244  -13.845 -138.722   39.823  -48.885
327  -10.234   -2.827 -150.319   38.773  -37.726
328   36.535  -25.673 -120.611   32.179   -1.410
329  153.219  -14.674 -143.176   31.527   -5.989
330 -152.813  -26.413 -165.958   48.223  -25.400
331  -23.874  -21.990 -126.717   31.584   -5.878
332  163.951  -18.739 -147.715   54.983  -41.384
333  179.406    8.673 -152.113   45.963  -23.731
334   72.643  -31.360 -147.149   29.406  -20.393
335   15.478  -35.917 -129.983   40.705  -21.351
336 -178.761   -7.606 -139.885   32.128  -19.793
337  146.295   21.432 -153.146   34.567   -1.335
338 -174.294    5.228 -158.354   55.926  -15.504
339 -168.550  -21.714 -143.854   67.350  -29.920
340 -166.213  -20.732 -145.411   36.098  -17.996
341 -166.942  -20.436 -152.872   43.288  -16.167
