  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.432        4.537            0      375.262       80.411       76.416
      127        0.405        4.519            0      374.060       48.813       79.371
      128        0.410        4.512            0      374.224       57.210       81.569
      129        0.757        4.512            0      371.686       62.944       78.765
      130        0.752        4.564            0      378.468       55.164       78.557
      131        0.650        4.548            0      374.996       64.271       77.828
      132        0.706        4.490            0      372.390       68.585       81.099
      133        0.821        4.508            0      371.861       67.508       77.878
      134        0.653        4.471            0      368.298       48.838       75.559
      135        0.650        4.577            0      372.785       55.302       77.773
      136        0.681        4.504            0      372.271       50.839       80.669
      137        0.659        4.545            0      374.548       45.947       80.601
      138        0.663        4.530            0      372.298       50.563       77.938
      139        0.635        4.541            0      372.103       62.082       79.066
      140        0.779        4.498            0      373.872       63.180       78.568
      141        0.668        4.543            0      372.202       52.437       75.059
      142        0.770        4.498            0      375.517       70.980       77.787
      143        0.738        4.527            0      375.549       67.506       79.238
      144        0.741        4.553            0      369.887       66.801       80.746
      145        0.789        4.502            0      373.228       55.049       81.320
      146        0.814        4.535            0      373.504       74.982       77.470
      147        0.879        4.566            0      373.843      106.139       80.670
      148        0.617        4.534            0      372.945       57.360       76.583
      149        0.677        4.581            0      375.834       50.751       79.092
      150        0.895        4.565            0      371.126       95.733       79.927
      151        0.742        4.508            0      375.296       48.760       81.091
      152        0.701        4.565            0      375.946       84.742       78.557
      153        0.731        4.553            0      374.402       66.995       77.378
      154        0.835        4.563            0      371.531       83.722       80.057
      155        0.644        4.570            0      375.841       38.500       79.383
      156        0.733        4.546            0      373.682       62.058       76.108
      157        0.689        4.559            0      376.221       65.166       73.547
      158        0.716        4.543            0      373.264       78.030       78.124
      159        0.875        4.574            0      372.892       71.158       80.283
      160        0.694        4.544            0      371.962       71.861       78.046
      161        0.775        4.498            0      374.055       72.088       77.960
      162        0.723        4.561            0      370.898       91.340       76.411
      163        0.744        4.557            0      374.392       65.806       79.074
      164        0.761        4.584            0      377.355       93.130       77.437
      165        0.817        4.494            0      373.083       69.042       78.510
      166        0.770        4.517            0      371.272       73.658       80.923
      167        0.851        4.534            0      377.136       62.672       75.629
      168        0.869        4.535            0      374.821       90.803       77.268
      169        0.781        4.556            0      375.316       68.209       77.122
      170        0.729        4.614            0      376.800       82.339       80.210
      171        0.716        4.537            0      376.221       70.977       77.381
      172        0.773        4.539            0      372.321       84.369       79.438
      173        0.742        4.587            0      373.212       85.558       79.375
      174        0.850        4.487            0      375.537       72.402       79.606
      175        0.655        4.541            0      373.382       69.122       76.050
      176        0.578        4.564            0      372.810       70.758       77.972
      177        0.882        4.522            0      373.021       77.097       77.443
      178        0.962        4.484            0      369.928       92.273       79.241
      179        0.792        4.552            0      372.956       70.320       78.171
      180        0.822        4.554            0      371.987       89.227       80.421
      181        0.913        4.551            0      373.895       77.981       77.856
      182        0.864        4.517            0      374.733       76.996       80.146
      183        0.860        4.602            0      379.611       71.905       75.746
      184        0.815        4.499            0      374.500       59.238       79.226
      185        0.834        4.542            0      371.454       77.627       78.486
      186        0.750        4.541            0      372.201       75.542       83.647
      187        0.730        4.580            0      374.566       77.477       78.356
      188        0.879        4.528            0      370.209       90.701       77.062
      189        0.648        4.549            0      372.268       74.825       80.905
      190        0.716        4.565            0      374.485       76.038       79.680
      191        0.727        4.539            0      375.200       76.067       78.252
      192        0.818        4.542            0      372.283       75.911       80.684
      193        0.771        4.601            0      371.899       73.173       77.893
      194        0.818        4.567            0      371.527       63.094       77.566
      195        0.775        4.487            0      371.212       76.214       80.164
      196        0.735        4.577            0      373.666       90.362       78.819
      197        0.848        4.600            0      376.591       90.100       80.065
      198        0.740        4.524            0      372.319       99.117       75.230
      199        0.898        4.497            0      371.851       68.005       80.101
      200        0.635        4.563            0      377.238       65.990       76.841
      201        0.755        4.563            0      373.155       54.869       79.493
      202        0.807        4.528            0      369.919       67.627       78.011
      203        0.909        4.509            0      369.019       76.318       79.036
      204        0.718        4.547            0      371.624       75.333       75.986
      205        0.753        4.557            0      377.419       57.005       79.661
      206        0.798        4.570            0      377.041       51.389       74.099
      207        0.867        4.488            0      373.167       72.172       79.567
      208        0.849        4.517            0      372.246       72.550       77.496
      209        0.797        4.515            0      373.325       69.740       77.808
      210        0.796        4.474            0      370.547       85.715       78.515
      211        0.720        4.500            0      373.335       54.959       79.920
      212        0.792        4.514            0      372.357       77.968       75.999
      213        0.764        4.584            0      371.369       63.970       81.929
      214        0.818        4.533            0      372.909       77.707       77.122
      215        0.769        4.508            0      369.454       90.314       78.703
      216        0.770        4.579            0      373.040       72.853       78.873
      217        0.782        4.541            0      370.430       73.247       76.865
      218        0.736        4.510            0      372.837       75.650       75.960
      219        0.798        4.538            0      374.198       89.528       77.562
      220        0.903        4.529            0      370.614       84.403       81.206
      221        0.892        4.482            0      371.598       83.088       77.583
      222        0.747        4.552            0      376.223       86.713       73.417
      223        0.785        4.518            0      367.079       95.959       79.227
      224        0.873        4.596            0      378.536       78.192       78.007
      225        0.685        4.566            0      373.838       53.604       76.832
      226        0.805        4.527            0      368.204       75.224       77.146
      227        0.631        4.585            0      373.136       65.211       75.423
      228        0.712        4.523            0      370.138       76.787       73.755
      229        0.827        4.554            0      372.441       73.193       79.944
      230        0.809        4.566            0      373.254       78.582       79.649
      231        0.759        4.516            0      370.051       73.581       80.912
      232        0.720        4.568            0      373.422       66.439       78.143
